objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
43841,LUDAMBULE,"Ludambule est une ludothèque itinérante dans les Hautes-Alpes,  associative, d'éducation populaire et d'utilité sociale.",/associations/ludambule,https://cdn.helloasso.com/img/logos/croppedimage-396bed2a870c40089bb146b1a8b92033.png,https://cdn.helloasso.com/img/photos/79942.jpg,Gap,05000,Hautes-Alpes,Provence-Alpes-Côte d'Azur,Passage Montjoie,44.563011,6.08203,Association1901Rig,Humanitaire | Solidarité | Education | Solidarité et Action Sociale,,3,"Donation, Membership",1459375200,1774979745,110,,contact@ludambule.fr,0960180188
494820,Destination Hockey,"L'objectif de l’association est d’envoyer les enfants licenciés du HCB, nés en 2015 et 2016 au tournoi des PeeWee au Canada en Février 2028. ",/associations/destination-hockey,https://cdn.helloasso.com/img/logos/croppedimage-7cadcb9563a34aac9244a8e2a53d8579.png,https://cdn.helloasso.com/img/photos/croppedimage-71e8ea2a05f641ea9c677b472bf310a8.png,Briançon,05100,Hautes-Alpes,Provence-Alpes-Côte d'Azur,4 Rue Pasteur,44.894672,6.636474,Association1901,Enfance | Sport,,2,"Event, Donation",1712181600,1775033070,110,,,
31252,Mobil'idées,"Depuis 2007, Mobil’idées milite pour les alternatives à la voiture individuelle dans les Hautes-Alpes. Nos actions sont nombreuses : atelier vélo participatif, organisation d’évènements, covoiturage, sensibilisation du public, réemploi des vélos, cyclabilité, vélo-école, etc.",/associations/mobil-idees,https://cdn.helloasso.com/img/logos/croppedimage-38341953095541be93cc17ce287fa195.png,https://cdn.helloasso.com/img/photos/50180.png,Gap,05000,Hautes-Alpes,Provence-Alpes-Côte d'Azur,7 Place Jules Ferry,44.557348,6.078505,Association1901Rig,Environnement | Vélo | Ecologie et Environnement,Don,3,"Donation, Membership",1421794800,1774875060,110,,contact@mobilidees.org,0661714741
237623,SPORTS ET HANDICAP EN BRIANCONNAIS,"Association qui permet aux personnes en situation de handicap de découvrir le sport, de se perfectionner, de faire de la compétition en mettant a leur disposition des équipements adaptés et les met en lien avec  des formateurs qualifiés. Elle propose aussi des événements sportifs handi-valide. ",/associations/sports-et-handicap-en-brianconnais,https://cdn.helloasso.com/img/logos/sports et handicap en brianconnais-7520454193d541ca915b43500bb5426b.jpg,https://cdn.helloasso.com/img/photos/groupe 2015-73da8ace685b47f4a9cb009fef3847a5.jpg,La Salle-les-Alpes,05240,Hautes-Alpes,Provence-Alpes-Côte d'Azur,"2, allée des peupliers - Moulin Taravellier",44.949718,6.555777,Association1901Rig,Sport | Handicap,Don,5,"CrowdFunding, Event, Donation, Membership",1609628400,1775025338,110,,skimagie@gmail.com,0670331240
551206,Instant Parent'aise ,Instant Parent'aise est une association à la parentalité sur Embrun (05). Nous souhaitons être un lieu ressource pour les parents et professionnels de notre secteur et à terme créer un café à la parentalité et une journée des familles sur Embrun. ,/associations/instant-parent-aise,https://cdn.helloasso.com/img/logos/croppedimage-5d6fef3f7127466993ff26b925b8041d.png,https://cdn.helloasso.com/img/photos/croppedimage-772b7918a22e49b491420f064bcb7a5c.png,Embrun,05200,Hautes-Alpes,Provence-Alpes-Côte d'Azur,13 Rue Edouard Przybylski,44.566749,6.50021,Association1901,Humanitaire | Professionnels | Solidarité | Solidarité et Action Sociale,,3,"CrowdFunding, Donation, Membership",1732143600,1774361741,110,,instantparentaise.asso@gmail.com,0641528084
153460,EKO! Low-tech,"L’association EKO! porte des projets positifs et innovants qui lient écologie et solidarité. Elle encourage la résilience et l'épanouissement individuels et collectifs, dans le respect de la nature et des cultures. Ses valeurs sont la cohérence, la sobriété, l’autonomisation et la diversité.",/associations/eko-low-tech,https://cdn.helloasso.com/img/logos/croppedimage-1b03a53f1cb940ac908577d5e7aae4ad.png,https://cdn.helloasso.com/img/photos/croppedimage-fc28db4eb49e4c34a25f2c883affba81.jpg,Briançon,05100,Hautes-Alpes,Provence-Alpes-Côte d'Azur,34 Route de Grenoble,44.904873,6.636314,Association1901Rig,Ecologie et Environnement | Culture | Environnement | Solidarité | Écologie,Don,4,"CrowdFunding, Shop, Donation, Membership",1560722400,1774604245,110,,contact@asso-eko.org,+33 7 83 91 59 52
449653,L'Escambi,"Encourager l’économie sociale et solidaire, le bien-être, les communs, le partage, la sororité et la fraternité, l’entraide, le respect de l'environment",/associations/l-escambi,https://cdn.helloasso.com/img/logos/croppedimage-489260493c334bcebe045604c8262f9b.png,https://cdn.helloasso.com/img/photos/croppedimage-b71d2c9c18424cd9bf4b4633b43f9ded.jpg,Aiguilles,05470,Hautes-Alpes,Provence-Alpes-Côte d'Azur,355 Boulevard des Dames,44.779911,6.864493,Association1901,Humanitaire | Solidarité | Économie | Solidarité et Action Sociale,,10,"Shop, Membership",1699916400,1774693479,110,,lescambi05@gmail.com,
177478,Euroscope,Tremplin jeunes ,/associations/euroscope,https://cdn.helloasso.com/img/logos/euroscope-400cb84697764617b56954cbe14b4e26.jpg,https://cdn.helloasso.com/img/photos/p1010049-a805f2e83c634719bd7deef172947c8e.jpg,Embrun,05200,Hautes-Alpes,Provence-Alpes-Côte d'Azur,"26, rue de la liberté ",44.56313,6.493438,Association1901Rup,Solidarité et Action Sociale | Humanitaire | Solidarité,Don,18,"Donation, Shop, Event, PaymentForm, Membership",1574463600,1774902527,110,,elisabeth.euroscope@gmail.com,0675666133
515773,Décibels05,"Décibels05 est une association des Hautes Alpes qui organise des événements culturels comme des concerts et festivals, mais anime également mariages, soirées privées et fêtes de village. ",/associations/decibels05,https://cdn.helloasso.com/img/logos/croppedimage-0034fac0f1c14ade86b119ef7f0e2606.png,https://cdn.helloasso.com/img/photos/croppedimage-265b1cf1f7a64d0b92985f488c9ff54a.png,Puy-Sanières,05200,Hautes-Alpes,Provence-Alpes-Côte d'Azur,Voie du Forest,44.555808,6.445136,Association1901,Arts | Culture | Fête | Arts et Culture,,2,"Donation, Event",1719180000,1774997327,110,,contact.decibels05@gmail.com,0695614700
74676,DIGITALPES DU SUD,Association d'entreprises spécialisées dans le numérique du 04 et 05 à l'attention des PME / PMI.,/associations/digitalpes-du-sud,https://cdn.helloasso.com/img/logos/croppedimage-cacec34cb5954a229cd7438e03fd3ff1.png,https://cdn.helloasso.com/img/photos/croppedimage-e97e4a26a7c1452d91f2101ece19077c.png,Gap,05000,Hautes-Alpes,Provence-Alpes-Côte d'Azur,"16, rue carnot",44.558584,6.080447,Association1901,Informatique | Étudiants | Réseaux pros et étudiants,,1,Membership,1516316400,1774445120,110,,bureau@digitalpesdusud.fr,0492565680
